temp,ts
73.62,1341565860625
73.62,1341565866408
73.62,1341565872191
73.62,1341565877975
73.62,1341565883758
73.62,1341565889541
73.62,1341565895321
73.62,1341565901104
73.62,1341565906887
73.51,1341565912671
73.62,1341565918454
73.51,1341565924237
73.51,1341565930016
73.51,1341565935800
73.51,1341565941583
73.51,1341565947366
73.51,1341565953150
73.51,1341565958933
73.51,1341565964712
73.40,1341565970496
73.40,1341565976279
73.40,1341565982062
73.40,1341565987845
73.29,1341565993629
73.40,1341565999408
73.29,1341566005191
73.29,1341566010975
73.18,1341566016758
73.29,1341566022541
73.18,1341566028325
73.18,1341566034104
73.18,1341566039887
73.18,1341566045670
73.18,1341566051454
73.18,1341566057237
73.18,1341566063020
73.18,1341566068800
73.18,1341566074583
73.06,1341566080366
73.06,1341566086150
73.06,1341566091933
73.06,1341566097716
72.95,1341566103495
73.06,1341566109279
72.95,1341566115062
72.95,1341566120845
72.95,1341566126629
72.95,1341566132412
72.95,1341566138191
72.95,1341566143975
72.95,1341566149758
72.95,1341566155541
72.95,1341566161325
72.95,1341566167108
72.95,1341566172887
73.06,1341566178670
73.06,1341566184454
72.95,1341566190237
73.06,1341566196020
73.06,1341566201804
73.06,1341566207583
73.06,1341566213366
73.18,1341566219149
73.18,1341566224933
73.18,1341566230716
73.18,1341566236500
73.29,1341566242279
73.29,1341566248062
73.29,1341566253845
73.29,1341566259629
73.40,1341566265412
73.40,1341566271195
73.40,1341566276974
73.40,1341566282758
73.40,1341566288541
73.51,1341566294324
73.51,1341566300108
73.51,1341566305891
73.51,1341566311670
73.51,1341566317454
73.51,1341566323237
73.51,1341566329020
73.51,1341566334804
73.51,1341566340587
73.62,1341566346366
73.51,1341566352149
73.62,1341566357933
73.62,1341566363716
73.51,1341566369499
73.62,1341566375283
73.51,1341566381062
73.62,1341566386845
73.51,1341566392629
73.51,1341566398412
73.51,1341566404195
73.51,1341566409978
73.51,1341566415762
73.51,1341566421541
73.51,1341566427324
73.51,1341566433108
73.40,1341566438891
73.40,1341566444674
73.40,1341566450458
73.40,1341566456237
73.40,1341566462020
73.40,1341566467804
73.40,1341566473587
73.29,1341566479371
73.29,1341566485153
73.29,1341566490933
73.29,1341566496716
73.29,1341566502499
73.29,1341566508283
73.29,1341566514066
73.29,1341566519849
73.18,1341566525628
73.18,1341566531412
73.18,1341566537195
73.06,1341566542978
73.18,1341566548762
73.06,1341566554545
73.06,1341566560324
73.06,1341566566108
73.06,1341566571891
73.06,1341566577674
72.95,1341566583458
72.95,1341566589241
72.95,1341566595020
72.95,1341566600803
72.95,1341566606587
72.95,1341566612370
72.95,1341566618153
72.95,1341566623937
72.95,1341566629716
72.95,1341566635499
72.95,1341566641283
72.95,1341566647066
72.95,1341566652849
72.95,1341566658633
72.95,1341566664412
72.95,1341566670195
72.95,1341566675978
73.06,1341566681762
73.06,1341566687545
73.06,1341566693328
73.06,1341566699107
73.06,1341566704891
73.06,1341566710674
73.18,1341566716457
73.18,1341566722241
73.18,1341566728024
73.18,1341566733803
73.29,1341566739587
73.29,1341566745370
73.29,1341566751153
73.40,1341566756937
73.40,1341566762720
73.40,1341566768499
73.40,1341566774282
73.40,1341566780066
73.40,1341566785849
73.40,1341566791632
73.51,1341566797416
73.51,1341566803195
73.51,1341566808978
73.51,1341566814762
73.51,1341566820545
73.51,1341566826328
73.51,1341566832112
73.51,1341566837891
